id,template_id,user_id,email_type,success,error_message,response_time,token_usage,created_at
cmbucgs9g002mxfedxy36bvl4,cmbubzu6k0000xf7v5rq50f9z,null,unknown,true,null,648,300,2025-06-13 05:05:39.605
cmbucgx2o002oxfedt7ehq0c5,cmbubzuhy0003xf7v7qz1xv9u,null,unknown,true,null,6366,30377,2025-06-13 05:05:45.841
cmbucgxzm002sxfedebluzwd1,cmbubzulq0004xf7vrp66zb6f,null,unknown,true,null,7158,47612,2025-06-13 05:05:47.026
cmbucnmvm0009xfj55kvhh7g8,cmbubzu6k0000xf7v5rq50f9z,null,unknown,true,null,374,301,2025-06-13 05:10:59.219
cmbucnn6a000bxfj5e5tgdir3,cmbubzu6k0000xf7v5rq50f9z,null,unknown,true,null,473,300,2025-06-13 05:10:59.572
cmbucnn9t000fxfj53gupd8gn,cmbubzu6k0000xf7v5rq50f9z,null,unknown,true,null,703,292,2025-06-13 05:10:59.672
cmbucnsux000nxfj5s3zr8tx3,cmbubzuhy0003xf7v7qz1xv9u,null,unknown,true,null,6446,30377,2025-06-13 05:11:06.944
cmbucntc4000rxfj52cl8o4dr,cmbubzue50002xf7vnwo0payz,null,unknown,true,null,7220,30885,2025-06-13 05:11:07.588
cmbucnu8s0011xfj5ipzifkiu,cmbubzulq0004xf7vrp66zb6f,null,unknown,true,null,8270,47609,2025-06-13 05:11:08.764
cmbucpxtk0008xfk03dgkdvd1,cmbubzu6k0000xf7v5rq50f9z,null,unknown,true,null,962,301,2025-06-13 05:12:46.713
cmbucq3f6000exfk0p39bxsjl,cmbubzue50002xf7vnwo0payz,null,unknown,true,null,6713,30889,2025-06-13 05:12:53.945
cmbucsi7j000qxfk0rxkfgnua,cmbubzu6k0000xf7v5rq50f9z,null,unknown,true,null,419,292,2025-06-13 05:14:46.42
cmbucsib5000sxfk0iox91wjp,cmbubzu6k0000xf7v5rq50f9z,null,unknown,true,null,424,300,2025-06-13 05:14:46.554
cmbucsmby000yxfk0pmyo996h,cmbubzuhy0003xf7v7qz1xv9u,null,unknown,true,null,4559,30377,2025-06-13 05:14:51.79
cmbucsn620012xfk0gd6fafh4,cmbubzulq0004xf7vrp66zb6f,null,unknown,true,null,5639,47609,2025-06-13 05:14:52.874
